sl_no,state,discom,"no_of_vendor_selection_requests_received_nos
a","vendor_selection_requests_pending_nos
b","vendor_selection_requests_approved_nos
c_","vendor_selection_requests_rejected_nos
d"
1.0,ANDAMAN and NICOBAR ISLANDS,Electricity Deptt. of Andaman & Nicobar Islands,438.0,6.0,409.0,23.0
2.0,ANDHRA PRADESH,Andhra Pradesh Central Power Distribution Corporation Limited,11.0,0.0,9.0,2.0
3.0,ANDHRA PRADESH,Central Power Distribution Company of A.P. Ltd.,95579.0,818.0,81457.0,13304.0
4.0,ANDHRA PRADESH,Eastern Power Distribution Company of A P Ltd,83762.0,893.0,80804.0,2065.0
5.0,ANDHRA PRADESH,Kuppam,1350.0,1.0,1336.0,13.0
6.0,ANDHRA PRADESH,Southern Power Distribution Company of AP Limited,92669.0,497.0,85506.0,6666.0
7.0,ARUNACHAL PRADESH,"Department of Power, Arunachal Pradesh",93.0,17.0,32.0,44.0
8.0,ASSAM,Assam Power Distribution Company Limited,321008.0,4342.0,310162.0,6504.0
9.0,BIHAR,North Bihar Power Distribution Company Limited,28364.0,5144.0,18480.0,4740.0
10.0,BIHAR,South Bihar Power Distribution Company Limited,25334.0,2326.0,20465.0,2543.0
11.0,CHANDIGARH,Chandigarh Power Distribution Limited (CPDL),1354.0,19.0,1263.0,72.0
12.0,CHHATTISGARH,C S P D C L,84377.0,596.0,81852.0,1929.0
13.0,CHHATTISGARH,TEED,41.0,3.0,37.0,1.0
14.0,GOA,Electricity Deptt. of Goa,2836.0,58.0,2665.0,113.0
15.0,GUJARAT,Dakshin Gujarat Vij Co.Ltd (DGVCL),111400.0,202.0,110900.0,298.0
16.0,GUJARAT,Madhya Gujarat VIJ Company Ltd.,103324.0,200.0,102853.0,271.0
17.0,GUJARAT,Paschim Gujarat Vij Co. Limited,232447.0,318.0,231706.0,423.0
18.0,GUJARAT,Torrent Power Limited - Ahmedabad,54209.0,143.0,53926.0,140.0
19.0,GUJARAT,Torrent Power Limited - Surat,10078.0,17.0,10031.0,30.0
20.0,GUJARAT,Uttar Gujarat Vij Company Limited,126426.0,217.0,125902.0,307.0
21.0,HARYANA,Dakshin Haryana Bijli Vitran Nigam Limited,53741.0,2352.0,48158.0,3231.0
22.0,HARYANA,Uttar Haryana Bijli Vitran Nigam Limited,53332.0,1152.0,47056.0,5124.0
23.0,HIMACHAL PRADESH,HPSEB Limited,11611.0,372.0,10777.0,462.0
24.0,JAMMU and KASHMIR,Jammu & Kashmir Energy Development Agency (JAKEDA),318.0,164.0,15.0,139.0
25.0,JAMMU and KASHMIR,Jammu Power Distribution Company Ltd (JPDCL),23668.0,627.0,20574.0,2467.0
26.0,JAMMU and KASHMIR,Kashmir Power Distribution Company Ltd (KPDCL),39612.0,521.0,38112.0,979.0
27.0,JHARKHAND,Jharkhand Bijli Vitran Nigam Limited,6500.0,487.0,5335.0,678.0
28.0,JHARKHAND,Tata Steel Limited,61.0,10.0,39.0,12.0
29.0,JHARKHAND,TATA STEEL UTILITIES AND INFRASTRUCTURE SERVICES LIMITED,63.0,15.0,36.0,12.0
30.0,KARNATAKA,Bangalore Electricity Supply Company Ltd. (BESCOM),14194.0,499.0,9059.0,4636.0
31.0,KARNATAKA,"Chamundeshwari Electricity Supply Company Ltd. (CHESCOM),",4879.0,162.0,2376.0,2341.0
32.0,KARNATAKA,Gulbarga Electricity Supply Company Ltd. (GESCOM) ,4528.0,206.0,1621.0,2701.0
33.0,KARNATAKA,HRECS Hukeri,32.0,10.0,17.0,5.0
34.0,KARNATAKA,Hubli Electricity Supply Company Ltd. (HESCOM) ,8549.0,452.0,4543.0,3554.0
35.0,KARNATAKA,Mangalore Electricity Supply Company Limited,7336.0,225.0,5357.0,1754.0
36.0,KERALA,Kerala State Electricity Board,242144.0,497.0,240536.0,1111.0
37.0,KERALA,Thrissur Corporation,684.0,3.0,673.0,8.0
38.0,LADAKH,Ladakh Power Development Department,1597.0,19.0,1552.0,26.0
39.0,LAKSHADWEEP,Electricity Deptt. of Lakshadweep,1058.0,1.0,1017.0,40.0
40.0,MADHYA PRADESH,M.P.Madhya Kshetra Vidyut Vitran Co.,44395.0,243.0,43832.0,320.0
41.0,MADHYA PRADESH,M.P.Paschim Kshetra Vidyut Vitran Co.,59875.0,314.0,59013.0,548.0
42.0,MADHYA PRADESH,M.P. Poorv Kshetra Vidyut Vitran Co ,30330.0,693.0,28700.0,937.0
43.0,MAHARASHTRA,Adani Electricity Mumbai Limited,483.0,41.0,389.0,53.0
44.0,MAHARASHTRA,Brihanmumbai Electric Supply & Transport (BEST),107.0,37.0,53.0,17.0
45.0,MAHARASHTRA,Maharashtra State Electricity Distribution Co. Ltd,611775.0,2941.0,601947.0,6887.0
46.0,MAHARASHTRA,NIDAR UTILITIES PANVEL LLP,2.0,0.0,1.0,1.0
47.0,MAHARASHTRA,Tata Power Co. Ltd,208.0,27.0,142.0,39.0
48.0,MANIPUR,Manipur State Power Distribution Company Limited (MSPDCL),1549.0,37.0,1442.0,70.0
49.0,MEGHALAYA,Meghalaya Power Distribution Corporation Ltd.,779.0,40.0,264.0,475.0
50.0,MIZORAM,"Power & Electricity Department, Government of Mizoram",1030.0,21.0,997.0,12.0
51.0,NAGALAND,"Department of Power, Nagaland",351.0,14.0,321.0,16.0
52.0,NCT OF DELHI,BSES Rajdhani Power Limited ,5063.0,310.0,4548.0,205.0
53.0,NCT OF DELHI,BSES Yamuna Power Limited ,1461.0,145.0,1200.0,116.0
54.0,NCT OF DELHI,New Delhi Municipal Corporation,1.0,0.0,1.0,0.0
55.0,NCT OF DELHI,Tata Power Delhi Distribution Limited  ,5324.0,183.0,4938.0,203.0
56.0,ODISHA,"TPCODL,  TP Central Odisha Distribution Ltd.",44621.0,751.0,42206.0,1664.0
57.0,ODISHA,"TPNODL, TP Northern Odisha Distribution Limited",28269.0,516.0,27126.0,627.0
58.0,ODISHA,"TPSODL, TP Southern Odisha Distribution Limited",27287.0,223.0,26200.0,864.0
59.0,ODISHA,"TPWODL, TP Western Odisha Distribution Limited",33023.0,259.0,32117.0,647.0
60.0,PUDUCHERRY,"Electricity Department, Puducherry",3376.0,33.0,3300.0,43.0
61.0,PUNJAB,Punjab State Power Corporation Ltd.,17788.0,725.0,16218.0,845.0
62.0,RAJASTHAN,Ajmer Vidyut Vitran Nigam Ltd.,78936.0,813.0,76417.0,1706.0
63.0,RAJASTHAN,Bhilwara  Elecricity Services Limited,0.0,0.0,0.0,0.0
64.0,RAJASTHAN,Bikaner Electricity Supply Limited,1.0,0.0,1.0,0.0
65.0,RAJASTHAN,Jaipur Vidyut Vitran Nigam Ltd.,78888.0,1165.0,73708.0,4015.0
66.0,RAJASTHAN,Jodhpur Vidyut Vitran Nigam Ltd.,81027.0,642.0,77851.0,2534.0
67.0,SIKKIM,"Energy & Power Department, Government of Sikkim",147.0,15.0,116.0,16.0
68.0,TAMIL NADU,Tamil Nadu Generation and Distribution Company Limited,68280.0,1226.0,66115.0,939.0
69.0,TELANGANA,Co-operative Electric Supply Society(CESS),239.0,0.0,233.0,6.0
70.0,TELANGANA,Northern Power Distribution Company of Telangana Limited,20883.0,151.0,20487.0,245.0
71.0,TELANGANA,Southern Power Distribution Company of Telangana Limited,24401.0,345.0,23641.0,415.0
72.0,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra Nagar Haveli Daman & Diu Power Distribution Corporation Ltd (A subsidiary of Torrent Power),1440.0,9.0,1013.0,418.0
73.0,TRIPURA,Tripura State Electricity Corporation Limited,4761.0,92.0,4319.0,350.0
74.0,UTTARAKHAND,Uttarakhand Power Corporation Ltd,101528.0,567.0,100198.0,763.0
75.0,UTTAR PRADESH,Dakshinanchal Vidyut Vitran Nigam Ltd.,85899.0,1478.0,80663.0,3758.0
76.0,UTTAR PRADESH,Kanpur Electric Supply Company Ltd.,27216.0,230.0,26674.0,312.0
77.0,UTTAR PRADESH,Madhyanchal Vidyut Vitran Nigam Ltd,242558.0,1876.0,234769.0,5913.0
78.0,UTTAR PRADESH,Noida Power Company Limited,1587.0,49.0,1466.0,72.0
79.0,UTTAR PRADESH,Pashchimanchal Vidyut Vitran Nigam Ltd. ,92853.0,1709.0,86566.0,4578.0
80.0,UTTAR PRADESH,Poorvanchal Vidyut Vitran Nigam Ltd.,154970.0,2145.0,147174.0,5651.0
81.0,UTTAR PRADESH,Torrent Power Limited,15480.0,143.0,15228.0,109.0
82.0,WEST BENGAL,CESC Limited,1215.0,11.0,1151.0,53.0
83.0,WEST BENGAL,India Power Corporation Limited (IPCL),4.0,0.0,4.0,0.0
84.0,WEST BENGAL,WBSEDCL,10501.0,2443.0,6075.0,1983.0
,,,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0
